date,서울특별시 서울특별시,부산광역시 부산광역시,부산광역시 기장군,대구광역시 대구광역시,대구광역시 달성군,인천광역시 인천광역시,인천광역시 강화군,인천광역시 옹진군,광주광역시 광주광역시,대전광역시 대전광역시,울산광역시 울산광역시,울산광역시 울주군,세종특별자치시 세종시,경기도 수원시,경기도 성남시,경기도 의정부시,경기도 안양시,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 고양시,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군,충청북도 청주시,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군,충청남도 천안시,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군,전라북도 전주시,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군,경상남도 창원시,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군,제주특별자치도 제주시,제주특별자치도 서귀포시
20220630,432.6,392.3,470.1,175.4,167.9,318.9,297.3,265.2,255.2,238.9,313.7,366.3,256.3,428.9,480.3,509.7,438.6,411.6,445.1,349.0,480.9,416.9,507.3,422.2,475.4,393.4,496.6,355.1,431.6,313.2,523.7,412.2,499.9,352.6,321.0,464.8,436.2,500.4,560.3,516.9,396.5,493.0,502.6,463.2,418.1,337.9,324.9,304.4,308.7,521.4,294.8,380.8,345.6,259.1,312.6,264.4,464.2,482.4,403.9,376.0,551.8,387.1,260.6,338.0,318.2,233.7,228.2,202.0,316.8,337.3,282.6,348.8,221.7,243.3,246.7,280.7,248.2,294.1,262.6,285.4,420.5,219.3,275.8,288.7,264.2,257.2,255.6,297.6,277.7,251.1,273.4,295.6,214.3,219.2,281.2,280.1,222.8,232.9,270.9,295.3,265.3,266.2,194.2,361.8,268.0,244.8,346.6,266.4,227.8,305.3,338.1,309.1,233.8,307.3,285.8,246.3,238.1,253.7,237.8,259.9,261.1,351.2,275.5,253.1,199.8,239.8,194.1,170.7,156.8,284.2,155.1,226.9,279.5,173.5,140.5,153.3,155.7,167.3,199.6,240.0,180.7,224.0,172.7,217.1,227.4,264.5,394.1,345.4,269.5,405.7,317.2,350.2,305.3,430.6,360.2,205.0,207.4,219.9,437.9,406.5,345.8,296.3,226.3,194.5,204.7,635.3,612.2
20220623,432.6,392.3,470.1,175.4,167.9,318.9,297.3,265.2,255.2,238.9,313.7,366.3,256.3,428.9,480.3,509.7,438.6,411.6,445.1,349.0,480.9,416.9,507.3,422.2,475.4,393.4,496.6,355.1,431.6,313.2,523.7,412.2,499.9,352.6,321.0,464.8,436.2,500.4,560.3,516.9,396.5,493.0,502.6,463.2,418.1,337.9,324.9,304.4,308.7,521.4,294.8,380.8,345.6,259.1,312.6,264.4,464.2,482.4,403.9,376.0,551.8,387.1,260.6,338.0,318.2,233.7,228.2,202.0,316.8,337.3,282.6,348.8,221.7,243.3,246.7,280.7,248.2,294.1,262.6,285.4,420.5,219.3,275.8,288.7,264.2,257.2,255.6,297.6,277.7,251.1,273.4,295.6,214.3,219.2,281.2,280.1,222.8,232.9,270.9,295.3,265.3,266.2,194.2,361.8,268.0,244.8,346.6,266.4,227.8,305.3,338.1,309.1,233.8,307.3,285.8,246.3,238.1,253.7,237.8,259.9,261.1,351.2,275.5,253.1,199.8,239.8,194.1,170.7,156.8,284.2,155.1,226.9,279.5,173.5,140.5,153.3,155.7,167.3,199.6,240.0,180.7,224.0,172.7,217.1,227.4,264.5,394.1,345.4,269.5,405.7,317.2,350.2,305.3,430.6,360.2,205.0,207.4,219.9,437.9,406.5,345.8,296.3,226.3,194.5,204.7,635.3,612.2
20220616,432.6,392.3,470.1,175.4,167.9,318.9,297.3,265.2,255.2,238.9,313.7,366.3,256.3,428.9,480.3,509.7,438.6,411.6,445.1,349.0,480.9,416.9,507.3,422.2,475.4,393.4,496.6,355.1,431.6,313.2,523.7,412.2,499.9,352.6,321.0,464.8,436.2,500.4,560.3,516.9,396.5,493.0,502.6,463.2,418.1,337.9,324.9,304.4,308.7,521.4,294.8,380.8,345.6,259.1,312.6,264.4,464.2,482.4,403.9,376.0,551.8,387.1,260.6,338.0,318.2,233.7,228.2,202.0,316.8,337.3,282.6,348.8,221.7,243.3,246.7,280.7,248.2,294.1,262.6,285.4,420.5,219.3,275.8,288.7,264.2,257.2,255.6,297.6,277.7,251.1,273.4,295.6,214.3,219.2,281.2,280.1,222.8,232.9,270.9,295.3,265.3,266.2,194.2,361.8,268.0,244.8,346.6,266.4,227.8,305.3,338.1,309.1,233.8,307.3,285.8,246.3,238.1,253.7,237.8,259.9,261.1,351.2,275.5,253.1,199.8,239.8,194.1,170.7,156.8,284.2,155.1,226.9,279.5,173.5,140.5,153.3,155.7,167.3,199.6,240.0,180.7,224.0,172.7,217.1,227.4,264.5,394.1,345.4,269.5,405.7,317.2,350.2,305.3,430.6,360.2,205.0,207.4,219.9,437.9,406.5,345.8,296.3,226.3,194.5,204.7,635.3,612.2
20220609,432.6,392.3,470.1,175.4,167.9,318.9,297.3,265.2,255.2,238.9,313.7,366.3,256.3,428.9,480.3,509.7,438.6,411.6,445.1,349.0,480.9,416.9,507.3,422.2,475.4,393.4,496.6,355.1,431.6,313.2,523.7,412.2,499.9,352.6,321.0,464.8,436.2,500.4,560.3,516.9,396.5,493.0,502.6,463.2,418.1,337.9,324.9,304.4,308.7,521.4,294.8,380.8,345.6,259.1,312.6,264.4,464.2,482.4,403.9,376.0,551.8,387.1,260.6,338.0,318.2,233.7,228.2,202.0,316.8,337.3,282.6,348.8,221.7,243.3,246.7,280.7,248.2,294.1,262.6,285.4,420.5,219.3,275.8,288.7,264.2,257.2,255.6,297.6,277.7,251.1,273.4,295.6,214.3,219.2,281.2,280.1,222.8,232.9,270.9,295.3,265.3,266.2,194.2,361.8,268.0,244.8,346.6,266.4,227.8,305.3,338.1,309.1,233.8,307.3,285.8,246.3,238.1,253.7,237.8,259.9,261.1,351.2,275.5,253.1,199.8,239.8,194.1,170.7,156.8,284.2,155.1,226.9,279.5,173.5,140.5,153.3,155.7,167.3,199.6,240.0,180.7,224.0,172.7,217.1,227.4,264.5,394.1,345.4,269.5,405.7,317.2,350.2,305.3,430.6,360.2,205.0,207.4,219.9,437.9,406.5,345.8,296.3,226.3,194.5,204.7,635.3,612.2
20220602,432.6,392.3,470.1,175.4,167.9,318.9,297.3,265.2,255.2,238.9,313.7,366.3,256.3,428.9,480.3,509.7,438.6,411.6,445.1,349.0,480.9,416.9,507.3,422.2,475.4,393.4,496.6,355.1,431.6,313.2,523.7,412.2,499.9,352.6,321.0,464.8,436.2,500.4,560.3,516.9,396.5,493.0,502.6,463.2,418.1,337.9,324.9,304.4,308.7,521.4,294.8,380.8,345.6,259.1,312.6,264.4,464.2,482.4,403.9,376.0,551.8,387.1,260.6,338.0,318.2,233.7,228.2,202.0,316.8,337.3,282.6,348.8,221.7,243.3,246.7,280.7,248.2,294.1,262.6,285.4,420.5,219.3,275.8,288.7,264.2,257.2,255.6,297.6,277.7,251.1,273.4,295.6,214.3,219.2,281.2,280.1,222.8,232.9,270.9,295.3,265.3,266.2,194.2,361.8,268.0,244.8,346.6,266.4,227.8,305.3,338.1,309.1,233.8,307.3,285.8,246.3,238.1,253.7,237.8,259.9,261.1,351.2,275.5,253.1,199.8,239.8,194.1,170.7,156.8,284.2,155.1,226.9,279.5,173.5,140.5,153.3,155.7,167.3,199.6,240.0,180.7,224.0,172.7,217.1,227.4,264.5,394.1,345.4,269.5,405.7,317.2,350.2,305.3,430.6,360.2,205.0,207.4,219.9,437.9,406.5,345.8,296.3,226.3,194.5,204.7,635.3,612.2
20220526,106.2,223.4,207.7,76.6,77.8,103.8,110.6,84.6,167.9,154.9,140.2,150.1,106.8,115.6,113.3,123.0,98.5,105.5,93.4,113.2,113.8,102.5,113.1,115.5,107.6,92.5,117.9,94.9,97.3,116.5,116.5,138.6,108.9,140.0,129.5,112.4,101.5,120.6,109.8,111.9,142.6,100.6,119.2,147.9,129.2,130.1,157.1,162.9,144.1,217.6,140.2,139.8,143.2,112.2,138.0,119.8,113.4,119.6,103.0,135.2,215.8,164.6,119.6,143.1,132.7,158.7,160.6,133.2,114.5,130.4,148.1,140.2,120.0,112.5,124.2,116.8,107.0,128.3,161.5,182.0,119.7,146.0,143.7,150.6,109.2,127.7,123.6,102.4,173.4,155.2,167.0,157.4,127.7,142.8,172.8,165.4,131.3,148.4,144.1,159.5,133.9,156.8,159.8,254.4,195.1,153.9,212.9,166.2,138.5,154.0,239.6,241.8,165.2,251.1,233.2,189.7,172.4,158.2,163.0,163.3,166.7,241.0,216.6,160.9,106.3,107.9,110.1,114.4,82.0,157.4,84.6,154.4,179.9,74.7,76.2,91.9,92.1,110.5,118.3,89.7,82.7,96.5,75.6,158.0,130.5,150.5,195.3,204.4,153.0,297.3,197.0,193.9,118.3,299.8,168.4,120.2,112.3,102.1,258.6,274.8,189.2,158.7,141.2,125.2,108.7,426.9,371.3
20220519,106.2,223.4,207.7,76.6,77.8,103.8,110.6,84.6,167.9,154.9,140.2,150.1,106.8,115.6,113.3,123.0,98.5,105.5,93.4,113.2,113.8,102.5,113.1,115.5,107.6,92.5,117.9,94.9,97.3,116.5,116.5,138.6,108.9,140.0,129.5,112.4,101.5,120.6,109.8,111.9,142.6,100.6,119.2,147.9,129.2,130.1,157.1,162.9,144.1,217.6,140.2,139.8,143.2,112.2,138.0,119.8,113.4,119.6,103.0,135.2,215.8,164.6,119.6,143.1,132.7,158.7,160.6,133.2,114.5,130.4,148.1,140.2,120.0,112.5,124.2,116.8,107.0,128.3,161.5,182.0,119.7,146.0,143.7,150.6,109.2,127.7,123.6,102.4,173.4,155.2,167.0,157.4,127.7,142.8,172.8,165.4,131.3,148.4,144.1,159.5,133.9,156.8,159.8,254.4,195.1,153.9,212.9,166.2,138.5,154.0,239.6,241.8,165.2,251.1,233.2,189.7,172.4,158.2,163.0,163.3,166.7,241.0,216.6,160.9,106.3,107.9,110.1,114.4,82.0,157.4,84.6,154.4,179.9,74.7,76.2,91.9,92.1,110.5,118.3,89.7,82.7,96.5,75.6,158.0,130.5,150.5,195.3,204.4,153.0,297.3,197.0,193.9,118.3,299.8,168.4,120.2,112.3,102.1,258.6,274.8,189.2,158.7,141.2,125.2,108.7,426.9,371.3
20220512,106.2,223.4,207.7,76.6,77.8,103.8,110.6,84.6,167.9,154.9,140.2,150.1,106.8,115.6,113.3,123.0,98.5,105.5,93.4,113.2,113.8,102.5,113.1,115.5,107.6,92.5,117.9,94.9,97.3,116.5,116.5,138.6,108.9,140.0,129.5,112.4,101.5,120.6,109.8,111.9,142.6,100.6,119.2,147.9,129.2,130.1,157.1,162.9,144.1,217.6,140.2,139.8,143.2,112.2,138.0,119.8,113.4,119.6,103.0,135.2,215.8,164.6,119.6,143.1,132.7,158.7,160.6,133.2,114.5,130.4,148.1,140.2,120.0,112.5,124.2,116.8,107.0,128.3,161.5,182.0,119.7,146.0,143.7,150.6,109.2,127.7,123.6,102.4,173.4,155.2,167.0,157.4,127.7,142.8,172.8,165.4,131.3,148.4,144.1,159.5,133.9,156.8,159.8,254.4,195.1,153.9,212.9,166.2,138.5,154.0,239.6,241.8,165.2,251.1,233.2,189.7,172.4,158.2,163.0,163.3,166.7,241.0,216.6,160.9,106.3,107.9,110.1,114.4,82.0,157.4,84.6,154.4,179.9,74.7,76.2,91.9,92.1,110.5,118.3,89.7,82.7,96.5,75.6,158.0,130.5,150.5,195.3,204.4,153.0,297.3,197.0,193.9,118.3,299.8,168.4,120.2,112.3,102.1,258.6,274.8,189.2,158.7,141.2,125.2,108.7,426.9,371.3
20211202,1351.9,1822.8,1748.4,1273.7,1296.0,1172.3,1366.9,1153.0,1779.3,1558.4,1329.3,1584.7,1234.0,1478.0,1482.3,1685.6,1261.7,1256.4,1199.0,1391.2,1342.7,1209.4,1327.4,1562.5,1437.2,1493.1,1480.7,1167.3,1429.4,1448.5,1497.1,1647.5,1431.9,1614.2,1529.2,1276.1,1235.6,1500.6,1534.2,1481.2,1535.7,1564.5,1560.7,1497.2,1479.0,1403.1,1833.9,1601.3,1481.8,2953.8,1524.8,1522.2,1379.0,1317.7,1382.0,1324.1,1785.2,1497.4,1460.8,1776.8,2971.9,2171.4,1339.5,1442.8,1482.7,1498.6,1464.9,1503.1,1371.3,1457.1,1430.7,1498.1,1394.9,1408.9,1346.5,1355.5,1344.9,1296.0,1447.5,1552.7,1229.0,1627.0,1557.7,1383.1,1435.6,1363.5,1385.2,1161.0,1668.1,1549.0,1475.0,1634.1,2018.1,1502.0,1781.5,2001.5,1859.2,1848.9,1721.1,1898.6,1514.9,1656.9,1326.3,1557.7,1790.7,1578.0,2015.0,1990.0,1860.9,2110.7,1536.2,1694.6,1886.9,1699.6,1576.1,1339.2,1353.6,1276.0,1570.3,1565.4,1681.5,1427.1,1266.9,1177.2,1239.4,1385.2,1537.8,1094.8,1221.9,1186.3,1182.2,1472.8,1480.5,1272.0,1123.5,1098.4,1232.1,1266.1,1227.9,1459.3,1443.4,1484.2,1233.0,1257.4,1192.8,1390.7,1168.6,1568.0,1687.0,1867.5,1657.7,1552.7,1369.9,2075.7,1725.0,1637.5,1371.6,1325.8,1665.2,1940.1,2164.8,2180.5,2069.3,1911.6,1702.3,2315.4,2433.0
20211125,1351.9,1822.8,1748.4,1273.7,1296.0,1172.3,1366.9,1153.0,1779.3,1558.4,1329.3,1584.7,1234.0,1478.0,1482.3,1685.6,1261.7,1256.4,1199.0,1391.2,1342.7,1209.4,1327.4,1562.5,1437.2,1493.1,1480.7,1167.3,1429.4,1448.5,1497.1,1647.5,1431.9,1614.2,1529.2,1276.1,1235.6,1500.6,1534.2,1481.2,1535.7,1564.5,1560.7,1497.2,1479.0,1403.1,1833.9,1601.3,1481.8,2953.8,1524.8,1522.2,1379.0,1317.7,1382.0,1324.1,1785.2,1497.4,1460.8,1776.8,2971.9,2171.4,1339.5,1442.8,1482.7,1498.6,1464.9,1503.1,1371.3,1457.1,1430.7,1498.1,1394.9,1408.9,1346.5,1355.5,1344.9,1296.0,1447.5,1552.7,1229.0,1627.0,1557.7,1383.1,1435.6,1363.5,1385.2,1161.0,1668.1,1549.0,1475.0,1634.1,2018.1,1502.0,1781.5,2001.5,1859.2,1848.9,1721.1,1898.6,1514.9,1656.9,1326.3,1557.7,1790.7,1578.0,2015.0,1990.0,1860.9,2110.7,1536.2,1694.6,1886.9,1699.6,1576.1,1339.2,1353.6,1276.0,1570.3,1565.4,1681.5,1427.1,1266.9,1177.2,1239.4,1385.2,1537.8,1094.8,1221.9,1186.3,1182.2,1472.8,1480.5,1272.0,1123.5,1098.4,1232.1,1266.1,1227.9,1459.3,1443.4,1484.2,1233.0,1257.4,1192.8,1390.7,1168.6,1568.0,1687.0,1867.5,1657.7,1552.7,1369.9,2075.7,1725.0,1637.5,1371.6,1325.8,1665.2,1940.1,2164.8,2180.5,2069.3,1911.6,1702.3,2315.4,2433.0
