Unnamed: 0,date,water temperature,salt,temperature,air press,wind direction,wind speed,max wind
0,2017/06/01 0:00,16.5,33.87,19.43,1001.4,2,2.58,3.33
1,2017/06/01 1:00,16.5,33.87,19.7,1001.14,1,1.99,2.55
2,2017/06/01 2:00,16.46,33.89,19.64,1000.68,2,2.73,3.48
3,2017/06/01 3:00,16.4,33.96,19.55,1000.35,1,2.24,2.92
4,2017/06/01 4:00,16.4,34.09,19.13,1000.55,3,1.77,2.42
5,2017/06/01 5:00,16.4,34.05,18.92,1000.23,6,2.52,3.26
6,2017/06/01 6:00,16.4,34.0,18.76,1000.56,3,2.25,3.01
7,2017/06/01 7:00,16.4,34.03,18.78,1000.6,3,2.02,2.71
8,2017/06/01 8:00,16.4,34.03,19.11,1000.4,6,2.41,3.19
9,2017/06/01 9:00,16.43,34.09,19.1,999.46,6,3.8,5.01
10,2017/06/01 10:00,16.42,34.19,19.25,998.66,6,3.61,4.8
11,2017/06/01 11:00,16.54,34.09,19.92,998.46,6,3.95,5.26
12,2017/06/01 12:00,16.77,34.15,19.54,998.13,6,5.12,6.47
13,2017/06/01 13:00,17.0,34.12,21.1,997.9,6,4.68,6.38
14,2017/06/01 14:00,17.03,34.07,20.85,997.18,6,5.61,7.61
15,2017/06/01 15:00,17.07,34.08,19.53,996.84,6,5.72,7.71
16,2017/06/01 16:00,17.08,34.06,18.91,996.24,6,5.8,7.71
17,2017/06/01 17:00,17.0,34.13,19.33,996.07,6,4.28,5.75
18,2017/06/01 18:00,17.0,34.13,21.03,996.07,0,3.39,4.81
19,2017/06/01 19:00,17.0,34.12,20.77,997.09,12,2.37,4.09
20,2017/06/01 20:00,17.0,34.05,20.94,998.29,12,3.37,5.17
21,2017/06/01 21:00,16.91,34.08,20.23,998.94,12,2.62,4.17
22,2017/06/01 22:00,16.8,34.13,19.8,999.51,15,2.17,3.38
23,2017/06/01 23:00,16.79,34.06,18.89,999.49,9,0.86,1.62
24,2017/06/02 0:00,16.67,34.15,18.7,999.89,9,0.62,0.99
25,2017/06/02 1:00,16.6,34.14,17.84,1000.35,7,0.74,1.22
26,2017/06/02 2:00,16.6,34.13,17.39,1000.91,9,2.07,3.51
27,2017/06/02 3:00,16.6,34.11,17.44,1001.68,15,2.01,3.15
28,2017/06/02 4:00,16.5,34.12,16.39,1001.86,9,1.17,2.06
29,2017/06/02 5:00,16.4,34.21,16.07,1002.49,7,0.9,1.66
30,2017/06/02 6:00,16.4,34.21,16.11,1003.18,9,0.85,1.66
31,2017/06/02 7:00,16.4,34.21,16.75,1003.07,9,1.11,1.9
32,2017/06/02 8:00,16.4,34.14,17.96,1003.68,7,1.55,2.05
33,2017/06/02 9:00,16.4,34.15,17.52,1004.46,1,3.45,4.61
34,2017/06/02 10:00,16.47,34.15,16.42,1003.91,1,4.17,5.68
35,2017/06/02 11:00,16.66,34.17,16.84,1004.01,1,3.82,5.24
36,2017/06/02 12:00,16.8,34.13,17.48,1004.02,3,3.95,5.66
37,2017/06/02 13:00,16.9,34.15,18.01,1004.23,0,2.93,4.17
38,2017/06/02 14:00,17.2,34.1,19.24,1003.89,9,2.83,4.64
39,2017/06/02 15:00,17.2,34.04,19.3,1003.73,9,3.82,6.46
40,2017/06/02 16:00,17.1,34.09,18.88,1003.86,9,3.63,6.6
41,2017/06/02 17:00,17.2,34.05,18.31,1004.25,9,3.67,6.6
42,2017/06/02 18:00,17.2,34.05,17.84,1004.65,9,3.25,6.11
43,2017/06/02 19:00,17.2,34.05,17.56,1005.31,7,2.43,4.61
44,2017/06/02 20:00,17.15,34.06,17.33,1006.1,7,1.97,3.41
45,2017/06/02 21:00,17.1,34.05,17.25,1006.5,7,1.5,2.54
46,2017/06/02 22:00,17.1,34.05,17.3,1007.29,15,1.24,2.14
47,2017/06/02 23:00,17.1,34.05,17.17,1007.27,15,0.81,1.43
48,2017/06/03 0:00,17.1,34.05,17.22,1007.5,12,0.82,1.29
49,2017/06/03 1:00,17.1,34.05,17.12,1007.03,14,0.74,1.08
50,2017/06/03 2:00,17.16,34.13,17.22,1006.9,15,0.89,1.28
51,2017/06/03 3:00,17.1,34.06,17.23,1006.61,13,0.76,1.17
52,2017/06/03 4:00,17.1,34.05,17.27,1006.23,4,1.32,1.74
53,2017/06/03 5:00,17.06,34.08,17.38,1007.17,14,1.31,1.95
54,2017/06/03 6:00,17.0,34.13,17.51,1007.41,13,0.98,1.44
55,2017/06/03 7:00,17.0,34.05,17.77,1007.45,2,1.78,2.28
56,2017/06/03 8:00,16.92,34.08,19.14,1007.61,1,1.48,2.28
57,2017/06/03 9:00,16.9,34.04,20.15,1007.21,6,2.25,3.22
58,2017/06/03 10:00,16.9,34.04,19.11,1006.69,6,4.32,5.77
59,2017/06/03 11:00,16.97,34.1,19.32,1006.85,1,5.12,6.85
60,2017/06/03 12:00,17.1,34.06,18.91,1006.65,3,5.58,7.62
61,2017/06/03 13:00,17.11,34.13,18.66,1006.2,6,6.03,8.27
62,2017/06/03 14:00,17.26,34.14,19.57,1005.88,3,4.4,6.32
63,2017/06/03 15:00,17.61,34.0,20.78,1005.58,0,5.18,6.97
64,2017/06/03 16:00,17.61,33.88,20.78,1005.45,6,4.26,5.82
65,2017/06/03 17:00,17.5,33.97,20.63,1005.95,3,3.3,4.66
66,2017/06/03 18:00,17.5,34.03,19.72,1006.6,9,3.29,6.06
67,2017/06/03 19:00,17.5,34.06,18.95,1007.56,9,2.49,4.57
68,2017/06/03 20:00,17.5,34.04,18.74,1008.33,13,1.54,2.86
69,2017/06/03 21:00,17.5,33.97,18.57,1008.49,9,1.75,3.26
70,2017/06/03 22:00,17.46,34.01,18.58,1009.36,15,2.15,3.58
71,2017/06/03 23:00,17.38,34.01,18.67,1009.84,15,1.95,3.17
72,2017/06/04 0:00,17.28,33.94,18.23,1009.59,15,1.02,1.88
73,2017/06/04 1:00,17.14,34.02,18.02,1009.69,12,1.62,2.53
74,2017/06/04 2:00,17.09,33.98,17.91,1009.76,12,1.06,1.71
75,2017/06/04 3:00,17.0,34.06,17.47,1009.3,12,0.82,1.25
76,2017/06/04 4:00,17.0,34.13,16.83,1009.14,7,0.36,0.58
77,2017/06/04 5:00,17.0,34.13,16.35,1009.28,7,0.57,0.81
78,2017/06/04 6:00,17.0,34.13,16.17,1010.56,1,0.54,0.79
79,2017/06/04 7:00,17.0,34.1,17.16,1010.76,1,1.26,1.62
80,2017/06/04 8:00,17.0,34.05,18.37,1011.15,1,1.94,2.46
81,2017/06/04 9:00,17.0,34.05,19.02,1011.33,1,2.19,2.81
82,2017/06/04 10:00,17.0,34.05,20.46,1011.02,6,3.08,4.08
83,2017/06/04 11:00,17.0,34.08,19.99,1010.69,6,4.42,5.94
84,2017/06/04 12:00,17.06,34.08,20.76,1010.66,3,4.04,5.6
85,2017/06/04 13:00,17.1,34.05,21.36,1010.67,0,3.6,4.8
86,2017/06/04 14:00,17.1,34.05,21.07,1010.3,0,2.91,3.93
87,2017/06/04 15:00,17.16,34.06,21.38,1010.38,9,3.57,5.58
88,2017/06/04 16:00,17.27,34.12,21.26,1010.26,7,3.56,5.84
89,2017/06/04 17:00,17.41,34.09,21.84,1010.17,9,3.28,6.03
90,2017/06/04 18:00,17.57,34.07,21.31,1010.62,9,2.38,4.56
91,2017/06/04 19:00,17.6,34.06,20.72,1011.27,9,2.05,3.8
92,2017/06/04 20:00,17.6,34.06,20.27,1011.72,9,1.54,2.94
